registro_id,data,turno,lab_id,codigo_disciplina,disciplina,curso,docente,finalidade,participantes_previstos,presenca_real,reserva_confirmada
U0001,2026-02-02,manha,LAB01,DCA0310,Redes de Computadores,EC,Prof. Bruno Costa,Aula prática,22.0,21.0,Sim
U0002,2026-02-02,Manhã ,LAB02,DCA0101,Algoritmos,EC,Prof. Elisa Moura,Avaliação prática,21.0,20.0,Sim
U0003,2026-02-02,Tarde,LAB02,DCA0601,Sistemas Embarcados,Eng. de Computação,Prof. Bruno Costa,Projeto,32.0,34.0,Sim
U0004,2026-02-02,Manhã,LAB03,DCA0702,Projetos Integradores,EC, prof. ana paula ,Monitoria,18.0,20.0,Sim
U0005,2026-02-02,Tarde,LAB03,DCA0702,Projetos Integradores,EC,Prof. Ana Lima,Projeto,23.0,20.0,S
U0006,2026-02-02,Noite,LAB03,DCA0310,Redes de Computadores,EC,Prof. Diego Alves,Avaliação prática,21.0,17.0,não
U0007,2026-02-02,Tarde,LAB 03,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Aula regular,16.0,17.0,Sim
U0008,2026-02-02,Noite,lab04,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Aula regular,24.0,24.0,Sim
U0009,2026-02-02,Manhã,LAB09,DCA0412,Banco de Dados,SI,Prof. Bruno Costa,Monitoria,20.0,21.0,Sim
U0010,03/02/2026,Tarde,LAB05,DCA0310,Redes de Computadores,EC,Prof. Elisa Moura,Aula regular,21.0,18.0,Sim
U0011,2026/02/03,Noite,LAB05,DCA0412,Banco de Dados,SI,Prof. Carla Nunes,Aula prática,14.0,13.0,Sim
U0012,2026-13-03,Noite,LAB06,DCA0101,Algoritmos,EC,Prof. Bruno Costa,Projeto,13.0,14.0,Não
U0013,2026-02-02,Noite,LAB07,DCA0203,Estruturas de Dados,EC,Prof. Elisa Moura,Projeto,25.0,31.0,Não
U0014,2026-02-02,Manhã,LAB08,DCA0203,Estruturas de Dados,EC,Prof. Ana Lima,Aula prática,,32.0,Sim
U0015,2026-02-02,Tarde,LAB08,DCA0203,Estruturas de Dados,EC,Prof. Diego Alves,Projeto,27.0,,Não
U0016,2026-02-02,Noite,LAB08,DCA0520,Ciência de Dados,EC,Prof. Elisa Moura,Aula prática ,14.0,11.0,Sim
